# T (C), a (AA) 
41.533545650956746, 5.431599546426375
59.4249142871257, 5.433855014811335
76.0383227974836, 5.435788266403407
92.65175568290347, 5.438365939289941
109.90415644369794, 5.440460305424114
127.79552507986692, 5.443682399605111
144.24823236250523, 5.446539921899164
161.021484126172, 5.44919816876814
178.27395215436175, 5.452460549802701
195.0472039180285, 5.455481282087584
212.29969632140975, 5.459106160829444
229.07294808507646, 5.462489390821626
245.84619984874323, 5.465510123106509
263.57795726703046, 5.4696183177848114
280.83040092002875, 5.473968173504183
297.6036770588869, 5.477351391204974
314.37692882255374, 5.48158041640381
332.1086131152665, 5.484721979209228
347.92343234988726, 5.48967597523988
366.61359792202893, 5.49330085398174
383.3868496856958, 5.498738175167378
399.20162016993345, 5.50103393047475
416.4541369485062, 5.505746268537181
433.22738871217297, 5.5102169547770865
450.47985674036266, 5.5156542728898765
468.21158978345846, 5.5214540734417525
485.4640578116482, 5.525803935306819
501.75814206117496, 5.528583006550634
518.5313938248415, 5.531966224251425
536.7422943820774, 5.535349441952215
553.5155461457441, 5.539215981735144
570.288797909411, 5.541632567563052
586.5828334085547, 5.545861592761888
# T, c
42.17252571386226, 8.430314885408272
58.437395212624054, 8.430565960076528
75.86407766674753, 8.430503191409464
93.29073574580906, 8.4304404227424
110.71739382487053, 8.430252119375062
126.98228769869434, 8.430189350707998
144.4089457777558, 8.430001044706806
160.6738396515796, 8.430126582040934
178.68137983325994, 8.429624437972128
195.5271558097026, 8.429561670621991
212.37290741108325, 8.429122293903323
229.2187565127119, 8.428620149834519
246.64541459177337, 8.42818077311585
264.0720726708348, 8.427302019678514
280.3369177945346, 8.426046658189573
297.7635758735961, 8.425418978103567
315.1902339526576, 8.42441468864903
331.45512782648143, 8.423096558493027
348.30092817798607, 8.421339054252208
366.30844398460437, 8.419581547377536
383.15424433610906, 8.416694215031125
399.9999959374897, 8.415564389559387
416.84579628899434, 8.41299089923137
433.69154789037503, 8.40916204873134
450.5373482418796, 8.404517211814879
468.54486404849786, 8.399056389140451
485.97152212755935, 8.395980752109775
502.817322479064, 8.394599854603634
519.0822163528879, 8.39321895446364
535.9279679542685, 8.391838062225204
553.9355325110107, 8.389829480682277
570.7812841123914, 8.388134743791596
587.62713321402, 8.385435718763304
