#T(K), c/2(AA)
3.553119635030413, 4.326495058683259
9.553119635030413, 4.326495058683259
18.79811280031487, 4.326495058683259
29.892111652026216, 4.326495058683259
40.061590027099044, 4.326495058683259
53.00459456523731, 4.326495058683259
61.32506725388322, 4.326495058683259
70.57006041916767, 4.326495058683259
80.73957406109065, 4.326495058683259
90.90905243616348, 4.326495058683259
100.15404560144792, 4.326336633184707
109.39903876673236, 4.326336633184707
120.49303761844372, 4.326336633184707
130.66251599351654, 4.325861392947555
139.907509158801, 4.326178219772323
151.00150801051234, 4.326653472095643
160.2465011757968, 4.327287137831347
168.56700913129285, 4.327920791480883
178.73648750636568, 4.328554457216588
189.83052162492717, 4.329188122952292
200, 4.32950494977706
224.96145333278787, 4.331247533571789
249.92297719927603, 4.332831691867965
273.95994532227553, 4.334574263576526
292.4499316528444, 4.335683175592466
298.9213986550634, 4.336475254740554
324.80740773133994, 4.338376239861499
349.7688610641278, 4.340277231025528
371.95685876755056, 4.342178210103388
381.201851932835, 4.342653468469792
389.52235988833104, 4.343603967073349
398.76735305361547, 4.344237626765969
407.0878610091115, 4.344871292501673
416.33285417439595, 4.345663371649762
423.72880638640333, 4.346772283665702
432.0493143418994, 4.347247529945938
444.06783367024934, 4.347881189638558
#T(K), b/sqrt(2) 
3.0816173659612787, 4.331247533571789
11.402125321457333, 4.331089108073236
18.79811280031487, 4.330930694660852
26.194100279172375, 4.331247533571789
34.51460823466843, 4.331247533571789
42.83508092331434, 4.331247533571789
52.08007408859879, 4.331405946984173
59.476096834306475, 4.331405946984173
65.94756383652546, 4.331564360396556
74.26807179202152, 4.331564360396556
83.51306495730596, 4.331564360396556
90.90905243616348, 4.332039612719877
100.15404560144792, 4.332356439544645
109.39903876673236, 4.332356439544645
117.71954672222842, 4.332356439544645
126.96453988751286, 4.332356439544645
135.28501257615875, 4.3326732663694125
143.6055205316548, 4.333148518692733
151.00150801051234, 4.333306932105117
159.3220159660084, 4.333940597840821
168.56700913129285, 4.334574263576526
178.73648750636568, 4.335207923269146
189.83052162492717, 4.335366342724614
200.92448520978837, 4.336475254740554
224.96145333278787, 4.337742580168879
249.92297719927603, 4.3391683190095875
274.8844305320639, 4.340752477305764
288.7519202799906, 4.341861389321704
299.84588386485177, 4.342178210103388
326.65637815091674, 4.343762368399564
